path	zone	extension	bytes	git_blob_sha	sha256	exact_duplicate_group	container_kind	container_members	filename_family_candidate
Systemwide/Source/Obsolete-Documents/old.St Claire 03 Population.md.old	source-obsolete	old	347081	7f83085a01620bbc14fb4943e5a7fa20a8ac449c	eca8a7e5ec316b54e9db892cb0d85de03a9ec9238f72aacb37cc566aed4cdd91		text	0	st claire 03 population md
Systemwide/Source/Obsolete-Documents/old.St Claire 04 Households 1.md	source-obsolete	md	16126	cdf8dc8d9bb0089d6ca1b611979e2066ef44af5a	eb8fb86f9b2e2d279b8cd0adc1c31ea6698defc38e30fd8794721d10a57c94ba	D026	text	0	st claire 04 households 1
Systemwide/Source/Obsolete-Documents/old.St Claire 04 Households.md	source-obsolete	md	16126	cdf8dc8d9bb0089d6ca1b611979e2066ef44af5a	eb8fb86f9b2e2d279b8cd0adc1c31ea6698defc38e30fd8794721d10a57c94ba	D026	text	0	st claire 04 households
Systemwide/Source/Obsolete-Documents/old.St Claire 05 Organizations.md	source-obsolete	md	28132	3ca5b361224ac9dc6498c425faaa1e0115401414	f5069e5c4b0655a321b82cb20b8f1f4eeeb825f0b861a47cf6f4f60d70b92026	D010	text	0	st claire 05 organizations
Systemwide/Source/Obsolete-Documents/old.St Claire 05 Organizations.md.old	source-obsolete	old	113482	2fac8b7968c56e20275f315a98654544e6bd97c8	196abfecd3b03101b9b56a369c53580703c2b1d1d93688945a55a43d10610c2b		text	0	st claire 05 organizations md
Systemwide/Source/Obsolete-Documents/old.St Claire 06 Places.md	source-obsolete	md	12372	3835d28681bb571153cee7db4e38d35796094e96	6fbe91696a06460b42a22ce729c0e0b05375ecedbe5ce0ddba9fc679bf98b317	D009	text	0	st claire 06 places
Systemwide/Source/Obsolete-Documents/old.St Claire 06 Places.md.old	source-obsolete	old	50755	20ba68cce53bdf456f096042b979530383e56afb	622b7604d1e36fab0d4b9c2777e47c1e7a91a4fde92e1988eaecf6995f13974f	D005	text	0	st claire 06 places md
Systemwide/Source/Obsolete-Documents/old.St Claire 99 MASTER TRACKER.md	source-obsolete	md	7384	083d965e36e831621c7a0e8368252a33ac5da334	d2fb92871af424c62b69daa12a7e42268fe2be38a86e461f7c4fcc1cb6e4b1c0	D002	text	0	st claire 99 master tracker
Systemwide/Source/Obsolete-Documents/old.St Claire Master Lore Compendium v2.md	source-obsolete	md	84569	d6e349c527c83fb403be9bfffa697acc29da6035	2702439e50561f278fa9478d9764b42c8f6a37b6fd1c6efd2c1198a461fd30c5		text	0	st claire master lore compendium v2
Systemwide/Source/Obsolete-Documents/old.st. claire.docx	source-obsolete	docx	379492	f3425249a712d77316c307dff5bd1ec180b5a348	2babca1537578c536f2f908edfa680e8a23eea00d8369163f80d774cafc59905		docx	14	st claire
Systemwide/Source/Obsolete-Documents/st. claire Markup.pdf	source-obsolete	pdf	2480797	b09d0fe579046f0472d1d327778c609c147e92ac	3086d465b1f219c18e88c6b320bf619d485c8938f01b46b941498ac0a9e75665		pdf	0	st claire markup
Systemwide/Source/Original-Documents/01 - Master Story Bible.docx	source-original	docx	37579	d083429aa9ca7521902a3b95d79cea2c6906d4ae	b63018b19745dc99afd962b42f263a84afdb07f565d650ed5f0e645c14631625		docx	17	01 master story bible
Systemwide/Source/Original-Documents/02 - Voice and Style Guide.docx.docx	source-original	docx	42263	e14e514d47251a4297b3718efb063394a1ba079c	2aa6e2855cee05506d2c0b8e5ce7a1c9da13f352ea763bef2594212a6d0f7111		docx	17	02 voice and style guide docx
Systemwide/Source/Original-Documents/03 - Character Bible.docx	source-original	docx	37550	f0bbdfb9c2ea3a9901fece4eb18da3774e06d12a	97b696db3f502031fa4b8bdf153e7606d0856a746f347e38b7d9ff1d0c0504e6		docx	17	03 character bible
Systemwide/Source/Original-Documents/04 - Timeline and Continuity.docx	source-original	docx	37488	a67668f65b5998428b6777f10a45a23c3f126e0f	577dea63fc2e01674ba7a41551b1d83b90cf5a6011f7491c1c7895bc258de9f0		docx	17	04 timeline and continuity
Systemwide/Source/Original-Documents/05 - Current Story State.docx	source-original	docx	37343	2f4ad7f39849d899823fce4b8bbe31235192f313	430677581e1d031e7612742f2921b42ef39f01d263133c6c6bf07db0c7d3f98d		docx	17	05 current story state
Systemwide/Source/Original-Documents/06 - Ideas - NON-CANON.docx	source-original	docx	37052	f924341e60195c90a8169a47d128310686b54bbe	1991c59c043769d41fb4b48fc5bc428ae67584fd4bcdfaa50a6df3817357b2d0		docx	17	06 ideas non canon
Systemwide/Source/Original-Documents/10_swap_matrix.docx	source-original	docx	37739	2ce69a8a3375737feeedc9be01d0a52ad1e44dde	da57a07c68a7ecf3b58d3598f191ff7ebe8a8e63e396d8ef6e4e02cebba4e18d		docx	16	10 swap matrix
Systemwide/Source/Original-Documents/17_Family_binder_For_poly_Relationships.docx	source-original	docx	9455	1f6eb4774b1e6cce094a6e90e83ce44e088be8c1	51649ebb5a724eb93c1ea73406692c3a9b8a7d5447a4ace81d018076dfad7280		docx	9	17 family binder for poly relationships
Systemwide/Source/Original-Documents/18_accessories.docx	source-original	docx	10072	d7d30c8155d27e2403bc0b3ceb3b4bffa1f1d429	0b6e589cd3e240fc4f9a95b1cade86a7863c70aab82a87bc16471356e4d66bfd		docx	9	18 accessories
Systemwide/Source/Original-Documents/19_aesthetic taste.docx	source-original	docx	10038	bc8fb81099a2e2c3459c941d62f6165c32f6a517	f47ae7addf2226fe185ad88e475646a0fca857e64d181dd97681f3ce25016954		docx	9	19 aesthetic taste
Systemwide/Source/Original-Documents/20_affective traits.docx	source-original	docx	7967	05c83c70d20c69d43b3afd2514f145c7874e39d0	c3065cce1b4d327944b2832d35b049c55b6611b2a37bfb7b08971d039b7482f2		docx	9	20 affective traits
Systemwide/Source/Original-Documents/21_apptitude.docx	source-original	docx	8407	847bd61e1af59d834d5bf1e156302b761620cf03	70bb77c1490840b7d83ce2d4395570814e373a1fa2efb56f0428ec4a7d1b66a2		docx	9	21 apptitude
Systemwide/Source/Original-Documents/22_beauty tools.docx	source-original	docx	11433	d62900931469d1cc4e323c139da6ad634308aef0	14e5fad1ae63a33ee620585631ccb9bd1bbbd778e9554b8801d197f6f6d31ae0		docx	9	22 beauty tools
Systemwide/Source/Original-Documents/23_categories of mental traits.docx	source-original	docx	218197	485abbc25e733dd76153652b5c7d5aa259b1e355	b1e995aeebf282287190275662c4c9995d10d471f7f4c557b0f39eb76e14ebd3		docx	15	23 categories of mental traits
Systemwide/Source/Original-Documents/24_clothes and body (2).xlsx	source-original	xlsx	12665	eea421f127f373b0646c92475f4891ec10d3413b	ffffa1e7ae8fa1af195dc594173bc31cc8b9b35268abe493ca92c0cd07dff02f	D028	xlsx	11	24 clothes and body
Systemwide/Source/Original-Documents/24_clothes and body.xlsx	source-original	xlsx	12665	eea421f127f373b0646c92475f4891ec10d3413b	ffffa1e7ae8fa1af195dc594173bc31cc8b9b35268abe493ca92c0cd07dff02f	D028	xlsx	11	24 clothes and body
Systemwide/Source/Original-Documents/25_clothing notes.docx	source-original	docx	20729626	d89e5f6f8e27d13e7bc2f6caa1511c69389bcb22	73c9dc6ce96b30c3dff0da14eda8d260d2a5e45d45c2a7e76a53276c15db72d4		docx	78	25 clothing notes
Systemwide/Source/Original-Documents/26_clothing style.docx	source-original	docx	10589	b186238fcaac81c4abd55f051f961dde707221c2	5995931f785c6de674d0ac8333e587a127e4cdc73f2d4ec5f3089e21a9f6e7c4		docx	9	26 clothing style
Systemwide/Source/Original-Documents/27_cognative skills.docx	source-original	docx	8686	bfd2c8ada5192b7d288f5f9413e9f13e2d0b3286	57d1cc276aa468324d222b4ba2d47c5e284a736aedf10c2d06cab89e947b740d		docx	9	27 cognative skills
Systemwide/Source/Original-Documents/28_conative traits.docx	source-original	docx	7444	db70a7c2fda074b382771d41d5fb17551e7c1173	000e06eb33903d3b77fa826dff405f642133771dde5a75ed95665d93c6d91641		docx	9	28 conative traits
Systemwide/Source/Original-Documents/29_cosmetics.docx	source-original	docx	10259	166dffc3c2d9ce64fc9b193ae2d64be5edd1b717	4911bd715ce0f8f169ff1173fd4c1cfc1f75667395cc4937b43b8461d9e7d74a		docx	9	29 cosmetics
Systemwide/Source/Original-Documents/30_female events and obligations.docx	source-original	docx	10316	2e7cc66d5ad5e2078625f8dbfd43a153f2c618c4	72b0f8b121f807a2e34bea2a98d721d7eb018b64d916b9da24e9dc7448f89b18		docx	9	30 female events and obligations
Systemwide/Source/Original-Documents/31_female life events (2).docx	source-original	docx	14646	23a89e6c7ea3fcdcab2e5041352f7123033be69e	5480da799b334ecbeda310c03d24bd517d6b690d9dcc2201285b992980517c05	D006	docx	9	31 female life events
Systemwide/Source/Original-Documents/31_female life events (3).docx	source-original	docx	14646	63e01cc80520227520d053e2a426fa3c75152a1e	593eca1f52a8fd22b2fb852319d8eac85978f85609e896a828293be8cca7f1be		docx	9	31 female life events
Systemwide/Source/Original-Documents/31_female life events.docx	source-original	docx	14646	23a89e6c7ea3fcdcab2e5041352f7123033be69e	5480da799b334ecbeda310c03d24bd517d6b690d9dcc2201285b992980517c05	D006	docx	9	31 female life events
Systemwide/Source/Original-Documents/32_female life skills.docx	source-original	docx	16321	248fd86e9551b9d63846b984070305850c5a5664	cf08d3490df882adfb51468ab1b13fb2da079f184a1025d7f22e80e1ce73ba75		docx	9	32 female life skills
Systemwide/Source/Original-Documents/33_female presentation.docx	source-original	docx	9912	f6ddb976f7613b942ae0b329ddbfcef197ff0e3d	65e1fc7ad64cff26e13dae7fe551426813c4498947746045a2b12898c584fbbc		docx	9	33 female presentation
Systemwide/Source/Original-Documents/34_Footwear_Registry (2).csv	source-original	csv	3569	79c46718ca2785bb72d7da897c6063a0100cf323	239d51a296a1fb3f5c9017ba6fb5226eabaf8ac05b343c2ccc0e1f4c65643231	D017	text	0	34 footwear registry
Systemwide/Source/Original-Documents/34_Footwear_Registry.csv	source-original	csv	3569	79c46718ca2785bb72d7da897c6063a0100cf323	239d51a296a1fb3f5c9017ba6fb5226eabaf8ac05b343c2ccc0e1f4c65643231	D017	text	0	34 footwear registry
Systemwide/Source/Original-Documents/35_girl shower routine.docx	source-original	docx	16629	509e77c73753f3f3e88979812d09a1c2715e5ea0	646dbc4c1fc5a8f6deb97e9b4d963edb8fc7c57aca8fbc131c9bea536bb34c03		docx	12	35 girl shower routine
Systemwide/Source/Original-Documents/36_gender swap couple.docx	source-original	docx	9181	d76f2a26382e2f089565e47a2b9c0617c4c44bc7	9583a3ba3afba3c9dd07912f87df180dfc87b890e0c0093baaadada52bc47339		docx	9	36 gender swap couple
Systemwide/Source/Original-Documents/37_hobbies.docx	source-original	docx	12419	bc8e6356f6a09d7085e73cb1e0f7a70ea7cc634c	3b9afa53d8ebd1a23702846ab1533d3c4e10c35e2a0eaf75b4202f47d1e6b5f0		docx	9	37 hobbies
Systemwide/Source/Original-Documents/38_interests.docx	source-original	docx	12328	806d77b0aa5fe3687aa8e76e8d6c94f7c0a2949a	bf80ea5056ee1af0ab0b9d010b7de318f356e120b7f79b2094fd291a0591f1bb		docx	9	38 interests
Systemwide/Source/Original-Documents/39_lived behaviours.docx	source-original	docx	12541	52aed24354fdc7bcaca988b9cd077597216a912e	b95393d66285b808ea569231851ed8def3c6fceb6d405effb6fb2d6b49046e4e		docx	9	39 lived behaviours
Systemwide/Source/Original-Documents/40_male life skills.docx	source-original	docx	16026	c1db94e70035a305d6f19293f7b28198eb88f8ab	1587f804f3681b775fe522afa07c5a6c739dd757462f50b655abfccbe88fff01		docx	9	40 male life skills
Systemwide/Source/Original-Documents/41_male presentation.docx	source-original	docx	9572	a0fb5bf8951a553d156c81b2ceb9193e8a55658a	06ed5fea149c7377ee4f7eebd1e871ae7611bdea169dec20d3c167e21e0dfc14		docx	9	41 male presentation
Systemwide/Source/Original-Documents/41_male.docx	source-original	docx	10536	93d1e52705a443cb9480db2620d43e72eac63fc9	2f7fbc9664e44a101555448469c479f49c7a030cc9297a23aa91bba78b768598		docx	9	41 male
Systemwide/Source/Original-Documents/42_mental_traits.docx	source-original	docx	10362	5216278a4c93f88d6a8ec37bca87abde47eaf501	a632205d66c8c43081878d6f6b7c9b8e9593574d10ab997628216ffa3e3679d1		docx	9	42 mental traits
Systemwide/Source/Original-Documents/43_occupational dress codes.docx	source-original	docx	14860	5b30ab0c8a92ade0cddbb92c5da5414adf5fb95d	604322870d2b6d9e8c6769f11c83e0ef3adc40015a5bcf1a8112244748c3f1d2		docx	9	43 occupational dress codes
Systemwide/Source/Original-Documents/44_occupationsl  dres code 2.docx	source-original	docx	12330	d9c047c401dc39a40ada327c18e37a98e58e948f	c9a7392d70ee7fdb2ab9674d962fa0df26da8e3ba19a5d669a68de3f251a274d		docx	9	44 occupationsl dres code 2
Systemwide/Source/Original-Documents/45_pfysical cracteristics.docx	source-original	docx	9952	46f808599d17bb0bb5092377704ac33f00c99a75	52cd04be53763b1dd7f752f61d3b580645d3f7ba1b736ffb78edfd4da763fb6e		docx	9	45 pfysical cracteristics
Systemwide/Source/Original-Documents/46_physical_traits.docx	source-original	docx	7894	e032ea0bf6833a6ced5ddfbb5a61553baaa99a80	d7f8dbe52655e9acde97569cce4e0e13a5cfcf1a57436d4cc09cc87d03410050		docx	9	46 physical traits
Systemwide/Source/Original-Documents/47_scene_tepl.docx	source-original	docx	16084	50ad596d91ddfdc7bac3fe1d8dc3dd81a4069c34	a40e923fa3e8764d5225c485948fa3c03327edd46328af1de90a5febc9b7eb83		docx	11	47 scene tepl
Systemwide/Source/Original-Documents/48_sports and recreational activities.docx	source-original	docx	11389	ba88f6ea6d1c6abe266bf7507583f72417ad3036	9a18be6c6c9054256f870ab1ac625bbc7c2edcad5178e6888bc0b2037b291ca8		docx	9	48 sports and recreational activities
Systemwide/Source/Original-Documents/50_markdown.docx	source-original	docx	250372	b668d071842ed3d74c5620d838a7e84d27cdfa16	3a2ec621df31fb3d43c95d49b7edd403f51239dbe5f7d5343bb520afec862521		docx	14	50 markdown
Systemwide/Source/Original-Documents/Advanced Cybernetic Integration & Anatomical Replacement Manifest (System Specification_ Model Variant V-10.docx	source-original	docx	13454	6bba101658eb3ce3ce1d17524a5640d585894c03	e391b5ae63a5729f8ad05d01d4cb6fb6d12367a7c27a19453fd6dbb311273cb4		docx	9	advanced cybernetic integration anatomical replacement manifest system specification model variant v 10
Systemwide/Source/Original-Documents/Based on real world examples create a plastics man.._.docx	source-original	docx	9954	844bb34c710c44c985aae6853d31c0684d41c54f	0bbc7deec70890f988ec15b3dbba95b873e8333901ee9ea4c21a259ec960701c		docx	9	based on real world examples create a plastics man
Systemwide/Source/Original-Documents/Comprehensive High-End Salon & Spa Transformation Protocol.docx	source-original	docx	13626	310e5e4b0ce4cc638ad857ef228dab4d64f0ccdf	e9500ccc225be1266472461a61295d5ba35ed37c5f75432294c13341ba2fd8c8		docx	9	comprehensive high end salon spa transformation protocol
Systemwide/Source/Original-Documents/Comprehensive plan.docx	source-original	docx	11002	bd96ab81f956d3730794abfb9dae58093a3f0209	e68c168af393d3d4a94a3a3ae4f54825ad19a2d4d1c1c133e7b2872b5c515cd1		docx	9	comprehensive plan
