path	zone	extension	bytes	git_blob_sha	sha256	exact_duplicate_group	container_kind	container_members	filename_family_candidate
Systemwide/Source/Original-Documents/Custom prosthetics plan - old.docx	source-original	docx	12005	7af8940950a324af6a41796246782f32486b41c5	5d4a101cd8a9217d68223f7d8f60d91f6da785da654593609a73e27dc04827f4		docx	9	custom prosthetics plan
Systemwide/Source/Original-Documents/Custom prosthetics plan.docx	source-original	docx	10996	7254295e687a4f40fe12e48cf49ac7cb37f3ed12	7f7cf4a8b6d61a2f6cc322de7c2e1a634f99d376da83187d8af56d1115e92dcd		docx	9	custom prosthetics plan
Systemwide/Source/Original-Documents/Ensuite in private residence (1).docx	source-original	docx	7056	0284a4a724a51998b291841352bb9dee3e1e64eb	f558c3cc96c180668c4e95713b8f3ebda9837fbbfa080ef72438aeda918d213b		docx	9	ensuite in private residence
Systemwide/Source/Original-Documents/Female_Polyamory_dating_issues.docx	source-original	docx	7702	84fd2eb34e878770a061a558836e577da9c606e7	a3d3ff85be530b63187a85350d4123f2c6b64df39d6354bcaacb5b49a8801915		docx	9	female polyamory dating issues
Systemwide/Source/Original-Documents/Fictional Penthouse Locations for Novel Project.docx	source-original	docx	8741	b84bae928e76a340edb30a916ee9425e49285cec	2baf59ac0a598cd89c999293c72775aad423d5c486187bc60bcc8effb63796f0		docx	9	fictional penthouse locations for novel project
Systemwide/Source/Original-Documents/Full_Collaboration_Architecture.docx	source-original	docx	17741	4fd8dd41f8d6a8681f05ea44b0c41b9a2b313c30	b2af3b426293979beb823d9b87f5f9484f98cb8439a431cbc2b4cb1131581613		docx	11	full collaboration architecture
Systemwide/Source/Original-Documents/Greek Women in Mythology Table.docx	source-original	docx	33200	a422055940721eb04c5a29e4a7fab979bb8c5165	e58a9e917c9cefed2782e19c5529da13fb35ecdd5bf3f449f9131c47c9886356		docx	11	greek women in mythology table
Systemwide/Source/Original-Documents/Innovation_Pipeline_&_Release_Schedule.docx	source-original	docx	16861	a68117cffc90199c94d71508daa2c878d3f84ad2	fb65865f3925d045421a72c259ff3a83b3bea8e368560d14ffdadc4e7baa210a		docx	11	innovation pipeline release schedule
Systemwide/Source/Original-Documents/Jim goes further in this vein offer them very favo.._.docx	source-original	docx	8854	c8eef33bca11fb6eea79aeb6b444fbde96f4687a	f1b0ea6348ec621e6ff122afb560bed1bfa0e8099e642d6f0df10841a9bb0744		docx	9	jim goes further in this vein offer them very favo
Systemwide/Source/Original-Documents/Jim says consolidate the museum pieces to one list.._.docx	source-original	docx	12290	c751c8bf0953bc7f54ad018b90a7adc290dc0ec1	136ce5d5a11cf0f4b0a97343e0f77e1a79118712fb332e061295c8b0fed4c72c		docx	9	jim says consolidate museum pieces to one list
Systemwide/Source/Original-Documents/Jim_Fashion_Empire_CANON_MANICURED_FINGERS_2026-09-10.xlsx	source-original	xlsx	28684	9461afddb4223832c0e03d5d8c7fba9bec1cfea2	af0de459c2068af71f10731945cb0bb87de25d228155a97f3ff6f8359ea318f8		xlsx	21	jim fashion empire canon manicured fingers
Systemwide/Source/Original-Documents/Jim_Fashion_Empire_FINAL_CANON_2026-09-10.xlsx	source-original	xlsx	43330	cae0c87cfed14eb90b995020d3323e1ef1db8878	38efb6be9d7366488b5c17d30fc09ca3eeb6533f7865a1826269411634bcf6aa		xlsx	27	jim fashion empire final canon
Systemwide/Source/Original-Documents/Jim_Fashion_Empire_Valuation_Survey_UPDATED_2026-09-10.xlsx	source-original	xlsx	20775	ad4c8319f125a1e97b6c6d6910d6555fda934631	4d48214e438869b68444c8b545bd4f0377e7e89c3604fc1e5259f752fb0978eb		xlsx	18	jim fashion empire valuation survey updated
Systemwide/Source/Original-Documents/Learned Behaviors in Gender Socialization Reference Library.docx	source-original	docx	11815	8f32d3992bb76b8968fd2eef2226683361b3ffb8	81f4b2c4abcb5ee32cca4c06a702e27cab94a5248c9639029eabc3415bfffbef		docx	9	learned behaviors in gender socialization reference library
Systemwide/Source/Original-Documents/Lesbian jewelery constellation pettern(1).docx	source-original	docx	8211	0741ef0c211eb1652686c5f5378349730f60a45b	0671647d06633077d4cc56eba69566488e4631a8fe23fe00d15f1cc986f47fbc	D001	docx	9	lesbian jewelery constellation pettern
Systemwide/Source/Original-Documents/Lesbian jewelery constellation pettern.docx	source-original	docx	8211	0741ef0c211eb1652686c5f5378349730f60a45b	0671647d06633077d4cc56eba69566488e4631a8fe23fe00d15f1cc986f47fbc	D001	docx	9	lesbian jewelery constellation pettern
Systemwide/Source/Original-Documents/List 50 leabian slang terms.docx	source-original	docx	10875	ffe78cbaf82ab0c539d0e3d8204dde34fb87e311	d2d69d3d0db0861c89d91f252e899d4751e43547aa118007d4cbb16a070639f8		docx	9	list 50 leabian slang terms
Systemwide/Source/Original-Documents/List 50 things each generation says starting with .._.docx	source-original	docx	13689	8ae8f55f6d92664ced9e350009f8c451dfa61b85	35e8bb8fa6b26a5f5e093cd3ce829c4562c8eff3b2fb0980108c9393a31812b4		docx	9	list 50 things each generation says starting with
Systemwide/Source/Original-Documents/List 50 things lesbians say.docx	source-original	docx	8677	f9c8d76d4e1943e3d7d19d65e35384f9e490ce79	bc820bc898095a1b815622f1c9a60b815a226bbd326a32e776d4cc2dbc66f3c5		docx	9	list 50 things lesbians say
Systemwide/Source/Original-Documents/List of Machines Required for Garment Manufacturing.docx	source-original	docx	18479	5afce350a3bf842d41f78228c44dfc4d8260a57e	fb7c38116ea61c3d09344dda3a9fe293c5da84ca2b91276464c66b195d967156		docx	11	list of machines required for garment manufacturing
Systemwide/Source/Original-Documents/Luxury Boutique Operational and Financial Blueprint.docx	source-original	docx	9170	fe48818058826cbb83c4f52a6a4cf04c39cac1f8	bbf706d8dcebb0213ff539b62031dab576b795994d34160e70f4c1e4f3760909		docx	9	luxury boutique operational and financial blueprint
Systemwide/Source/Original-Documents/Megafacility Architectural & Staffing Reference Document.docx	source-original	docx	73902	effa7357f34a10549f4eabd7d7a32cf74ed1c6b8	4839686a4ffdaa9d26cc298e88698f217a94256723e0309382cb80f2e1236d57		docx	22	megafacility architectural staffing reference document
Systemwide/Source/Original-Documents/Megafacility Architectural Blueprint — Fashion, Beauty & Textile Complex.docx	source-original	docx	116976	4c9f1cd923584b26ce4dc52ff2fa2f3e1fe911bd	4ed21ed2ef8a2709b11325fc656b953991eeef3884982d7908b91d8d6b61c987		docx	22	megafacility architectural blueprint fashion beauty textile complex
Systemwide/Source/Original-Documents/Metis Werks Experience Showroom.docx	source-original	docx	25010	6d7f130e94188294decc7b4fcff060e37adde9fd	0e6939b57a1721043d374c1675ae53333debffe59b8c76fd2fb39be69847a167		docx	12	metis werks experience showroom
Systemwide/Source/Original-Documents/Metis Werks.docx	source-original	docx	15261	e67f3cc0f8f6b7edc92292c0b905301c2e0e5077	8b2ba2b48e144dfd197d675e00e3e250a22ddc8038efc64819cb8368c2c42cb9		docx	11	metis werks
Systemwide/Source/Original-Documents/Metis_Werks_Equipment_Descriptions copy.docx	source-original	docx	35751	3bd1fdd6a954cd2e804ab9f73915a8b57f874f53	c24338de781e38f31faac0333bb0eed79609b4bafca1783ce940594390fe37aa		docx	17	metis werks equipment descriptions
Systemwide/Source/Original-Documents/Metis_Werks_Test_Facility_Blueprint.docx	source-original	docx	17431	2288af5d064ca2a41619981c2f69d720ba5a81b2	d1c211d7baef4108cc98cb7a322333a3a0a5325064f34c5642c6a624f3bc2347		docx	11	metis werks test facility blueprint
Systemwide/Source/Original-Documents/Mnemosyne art gallery.docx	source-original	docx	19490	04943a067617f09954c242ef9ba99bc62a50a9b7	eb05aad05d60b1279905edf9e6a68d3f058827154bddb746c91fba689d866827		docx	12	mnemosyne art gallery
Systemwide/Source/Original-Documents/Obsidian-Vanguard Estate_ Master Concept & Architecture.docx	source-original	docx	11517	3824e19f2fb95917bdb034ee34dcc36d73aaa38c	c4bab67cd06eb45f0f1ffc4de67ab5c1ba90a825bc71bbc25403c86ba0ac2310		docx	9	obsidian vanguard estate master concept architecture
Systemwide/Source/Original-Documents/Obsidian-vanguard-staffing-plan.md	source-original	md	9067	9e79ff79dbdbf97e12c2a82b5564da11471a8107	16a18df652c199bd07edf40bdb6319a514912de603762f1dcc8ed7ce781e7cd2	D020	text	0	obsidian vanguard staffing plan
Systemwide/Source/Original-Documents/Precision Cuts & Styling_ Tailored haircuts, _prof.._.docx	source-original	docx	8211	591f6db94a96077b08468f9aafd403c6442a0bbc	ebea4963b3198216b2d2e5f3e651e79dc8add374fd7b3ced8c8cab077985eb91		docx	9	precision cuts styling tailored haircuts prof
Systemwide/Source/Original-Documents/Protocol-Ingestion-And-Subject-Query.docx	source-original	docx	28682	b033e569f83379482c14035890b6338fea049ac6	8da59ae1a944ed57d5df6cf589bc2b5be7b4a333c1105eb51716e0d7acc18445		docx	24	protocol ingestion and subject query
Systemwide/Source/Original-Documents/Protocol-Ingestion-and-Subject-Request.docx	source-original	docx	49606	bc88da3b285ba82534dc566f6fd32c9a04d7f030	71899799794dbd8c2b2b9346960b11b33ce560055d2de0c30bfcee81a83adba2		docx	24	protocol ingestion and subject request
Systemwide/Source/Original-Documents/SKILL.md	source-original	md	13386	be457c212c20ec3619bb9e3f14784c485415c81b	5e5fed8cc71972114dbbe2dbccb13b4435181509d36c4cbd7f582ec0b7406a60		text	0	skill
Systemwide/Source/Original-Documents/SYSTEM CORE INSTRUCTION revised.docx	source-original	docx	28014	6637d3e55932665d12b5cdfeed9516dc5a274725	35cffbd9390b8e203e9c46996a4a2f29722882bc0e60e0b7a03132d56b592ed7		docx	12	system core instruction
Systemwide/Source/Original-Documents/SYSTEM CORE INSTRUCTIONS.docx	source-original	docx	23699	406a7cd8690836877207e6f194594846db3836e5	a4b963696870f5c9a665c3d8c24bef43a16b8dfd1f7da21dc347ab0973140f67		docx	12	system core instructions
Systemwide/Source/Original-Documents/St Claire 00 Concept.md	source-original	md	119772	733141bfa1028d528ee9978d0b8bd98d6024e84f	0e2601f93901c740d40e791158976418e7b36c0a5147e1e48db21f538c44e147		text	0	st claire 00 concept
Systemwide/Source/Original-Documents/St Claire 00B Rules and Mechanics.md	source-original	md	54313	fb066ad88441a6a791af25a8612b2f0a4cb1ecc1	a2768938ddb56d00d1fa990455c51b7548d983ff93cfea3fe1bd3464db46cfd5	D032	text	0	st claire 00b rules and mechanics
Systemwide/Source/Original-Documents/St Claire 00C Working With Claude.md	source-original	md	9255	3a5b11da54f7bb6e459395eb71e58f8907806756	ea3bcec827ab9340ec296280f648af6603660b5d2e93c0e6a56f838158efc996		text	0	st claire 00c working with claude
Systemwide/Source/Original-Documents/St Claire 00D History.md	source-original	md	14846	c306c7b6c99e6c62d9a20b8aab22b6a9e88eba09	2c963b49a4269e8ae056f9f309973e9d8f8a96986db6880994a22d78a7c12db8	D024	text	0	st claire 00d history
Systemwide/Source/Original-Documents/St Claire 01 Founding Pioneers.md	source-original	md	7055	26428e06f4a615a808591d95c0ac8da464526b12	23f1b484c17d4b50c95d66680e60536981117752b6e9b5a2cd1af25788eef5db	D007	text	0	st claire 01 founding pioneers
Systemwide/Source/Original-Documents/St Claire 03 Population.md	source-original	md	362527	b753100694abd64724c39f3f0f186f294bdf4bbf	0fdc4cbe6962e1771c815e0c185ae299a0f7f3264c0bbae322786eb2dd214018		text	0	st claire 03 population
Systemwide/Source/Original-Documents/St Claire 04 Households.md	source-original	md	168352	5e6b33d6dbd8d41ce6da2fff482effd88b75eb81	301bdb8586770e9a029396ce0dcfbc0f915bb602154c9df4709d542420edbcdc		text	0	st claire 04 households
Systemwide/Source/Original-Documents/St Claire 05 Organizations.md	source-original	md	117282	c35cc5d8212fe1dd27bde749ce1adcd7c373108d	b173376f260c3c5dc8bc19987199115be3b06d347510b373bc0939d600229038		text	0	st claire 05 organizations
Systemwide/Source/Original-Documents/St Claire 06 Places.md	source-original	md	51239	92aa967c86ec22d9cc8eb602399c70bd98031251	dd39306ec19576db7de4fc0685e4e04b96efa4713a5d1db9da72883312e51638		text	0	st claire 06 places
Systemwide/Source/Original-Documents/St Claire 07 Occupations.md	source-original	md	2377	324c1c10f0ae3ccbaa16ef7c9661fcb6b1793c26	8af96e86011d4810d6babc0e82bebb9b781446a7bbd7c503911443bb64402eaf		text	0	st claire 07 occupations
Systemwide/Source/Original-Documents/St Claire 08 Name Pools.md	source-original	md	3058	0cf65fcc4cdcadf1dfcc0e93dbf19de7ab90937b	bfacecd3a03f8e6d01d42d9bbf94f9c7aa2535d8f78b0126e870eb0918c18171		text	0	st claire 08 name pools
Systemwide/Source/Original-Documents/St Claire 99 MASTER TRACKER 1.md	source-original	md	23752	2a923d506879026b7c6d2a88cb99a0b67b190c07	39c67a1033f14a28efa503d0415c72679ea72b47ad7124affe554bc23243aee3		text	0	st claire 99 master tracker 1
Systemwide/Source/Original-Documents/St Claire Master Lore Compendium v3.md	source-original	md	83310	bc7036a3f414af4f663bba0ec68aa38f8a6dfaed	46d6e53c8a64c506f85933e34770833ff577d85f7726df75e6873e7bb2f0f6b2	D023	text	0	st claire master lore compendium v3
Systemwide/Source/Original-Documents/St._Claire_Character_Guide.docx	source-original	docx	17804	87f7a96c1aedcac2aa3e8d85faae4a89feb78f92	dfee28accb396c9419b9769735a8833be04954bf2ab973d277ec512798252eb7		docx	11	st claire character guide
Systemwide/Source/Original-Documents/St_Claire_Session_Salvage.docx	source-original	docx	19757	e73c36a27d3a71ae5864fc8334a73dba8abee9f5	6373b88e0c6e24b240344254401c6598d1f1d4393bbc652cf1cfcf47f9b2f1a2		docx	22	st claire session salvage
Systemwide/Source/Original-Documents/St_Claire_Urban_Planning_Codex.docx	source-original	docx	49622	4aaa8b12f3d6913ed93926dd64ac3e0ea800f56c	f3ad781a7c39d515c86a57e4b6d17426b91e316ce46a18234f28e3a3bc200037		docx	22	st claire urban planning codex
Systemwide/Source/Original-Documents/Swap_Mechanics_Matrix.md.docx	source-original	docx	9908	55c042186305ac0241fbf5a31501fb608abc6997	5f3c5dc01201e52868fb4b05f19ee4e192859ddff7ecd37ffdf1153debba097f		docx	9	swap mechanics matrix md
Systemwide/Source/Original-Documents/Swap_Mechanics_Matrix_old.md.docx	source-original	docx	14485	591a4cd856a40c34a93ad2b7d8a0a02628bb60b0	c00460e39c98f71c16428d8cfd50e387aafc43a19c3f12e7bf0e3dd6aa4bd491		docx	9	swap mechanics matrix old md
Systemwide/Source/Original-Documents/Tattoo.docx	source-original	docx	378039	f8d5014b0306c72e7c97002da7b3dfe5d22f334f	bb1f36300b284435a33df84b10f447493dc2494b8ce856f9bf8fe070294857d9		docx	15	tattoo
Systemwide/Source/Original-Documents/Techne Complete Product Guide.docx	source-original	docx	31382	60ca1d4533fd98589bb10cc88e6440344834c17b	76c19f3a3b10d3bcc9d1f0db61ae84f734457e2f9947bb61498bc1884afdc172		docx	12	techne complete product guide
Systemwide/Source/Original-Documents/Techne_Upgrade_Opportunities_for_Metis_Werks.docx	source-original	docx	17878	98fea5cf2ed85bf56930310ea2e9dd71583d49d3	4b79f1cb76522ed3b0736a692985f82981067d5221d51638676ef83e783ccb09		docx	11	techne upgrade opportunities for metis werks
Systemwide/Source/Original-Documents/The Anchor Complex-showrooms museums and gallery.docx	source-original	docx	19734	0175726ab74e9009687172880010aa83f37e44ca	ac59895987adf8c24d0ab3bd31bee34c84cdc4cc1e9eb9d777a5a88ecc574d3f		docx	12	anchor complex showrooms museums and gallery
Systemwide/Source/Original-Documents/The Combined Showroom.docx	source-original	docx	27525	a1da0a79043c096c4e4e53021b372d84137c132d	8e4e27c042abd90a5135a749c11bc683ee07a5bc506a790ee4789f28ec3eaf97		docx	12	combined showroom
Systemwide/Source/Original-Documents/The District of St. Claire (2).docx	source-original	docx	67702	2b2f350f4f9f435b64a10c6fe36222a459552c62	f5f1484f3c2fae8d6f2a815e21a39e4e3c58034359ec503c689cd3a50421f76c		docx	9	district of st claire
Systemwide/Source/Original-Documents/The District of St. Claire — Master Lore Compendium.docx	source-original	docx	52424	c1de7fd32314471b81fd71e34f5fc1f9296c216f	b391562379391f45137a36e13fb45c135930010b6afe78e084feede39325806c		docx	22	district of st claire master lore compendium
Systemwide/Source/Original-Documents/The District of St. Claire.docx	source-original	docx	67702	6c753061fc2d86452d37d8a471274e24838ad472	1a3eadf7ddfec9e87d52609c0d03834552c0fe474adc16958ca4b8066fb61575		docx	9	district of st claire
Systemwide/Source/Original-Documents/The Erato artist Collective.docx	source-original	docx	22020	d71eac76b8848b767c521aa73b76350868f33ae2	29187735dfee813072bf2166312245f85db5341e42007bbdd452f22f0a5384d0		docx	12	erato artist collective
Systemwide/Source/Original-Documents/The Estate.docx	source-original	docx	53647	c11a3dd05891d651eafeb4ed76dc20cd8148f163	ff1d198cb3e7ccdd20c5195752d03f9297d20c1858921b8921fc39ca1f80e18d		docx	12	estate
Systemwide/Source/Original-Documents/The Innovation Showroom.docx	source-original	docx	24588	7168d4b8df50136ae41438909fe60bb2b741adbc	f79e21152986d255581ed8a9f13a35ead081efb90fa027dc92802b3a27cb66d8		docx	12	innovation showroom
Systemwide/Source/Original-Documents/The Metis Wellness & Clinical Pavilion — Showroom Architectural & Product Layout.docx	source-original	docx	22391	f4b0c9c33e62d8a7b371264fcf53f067c7847bc8	ce53aea82556a4e88e210ae294e5abfdcc05ebc0b43318f57cbb8a08252530f3		docx	12	metis wellness clinical pavilion showroom architectural product layout
Systemwide/Source/Original-Documents/The Obsidian-Vanguard Estate_ Master Concept & Architecture.docx	source-original	docx	11517	1d56171d3cfec62e6549311cdc4df9ca1b3cd834	35e874c3e3f7e998d7a802cb030af4dc2b09834a0c5b72a9b79a7ab2c7c585d1		docx	9	obsidian vanguard estate master concept architecture
Systemwide/Source/Original-Documents/The Patronage & Partnership Strategic Plan.docx	source-original	docx	16723	14b9d267ab0c8197bd89a456a50a483ba1f71c73	7e60ce01fb3b67e3c424aa034233cc7676979b1c1db8108c6fd9a36827e8d723		docx	12	patronage partnership strategic plan
Systemwide/Source/Original-Documents/The Sisterhood of the Traveling Uniform.docx	source-original	docx	88732	c2e7119b4061b85a17774f87bf47d7066b098658	1daf6b43df65a15d9899a1ec660a2f4418a1f22d4b1f416f71b26abe4a325881		docx	12	sisterhood of traveling uniform
Systemwide/Source/Original-Documents/The Whitfield Museum of Fashion .docx	source-original	docx	25460	1bf148928f9e87fffecad2abfd2b85035374239e	59a12d080c6cb2a58ded8536dc600f967345386fbd0edc57278b3dd148be9d79		docx	12	whitfield museum of fashion
Systemwide/Source/Original-Documents/The-Alyssa-Buyout.docx	source-original	docx	144789	83e4bf2537aa6f8cfdfd0016b6e2b22a3ee6305c	11f59a7f4cf52020b169b8485474b8e65317e19e4532f2407026c05815a2c2bc		docx	24	alyssa buyout
Systemwide/Source/Original-Documents/The.docx	source-original	docx	21711	a90dbcdcbde0873fbb708ae8802ea82e8caa5e00	2d9b621e3a6404bbc5303db907bacd78a793e9f0115522c6f615744f88fc816b		docx	12	[empty-normalized-name]
Systemwide/Source/Original-Documents/The_People_of_St_Claire.docx	source-original	docx	21365	50d9ecdf4b1376cd7ee502a58d527f637fcd9581	826a1ae11e939606ccc8ad5743eaa351c53939a942f305ecf3ce1f186f896380		docx	11	the people of st claire
Systemwide/Source/Original-Documents/Threadbourne_×_Techne_×_Metis_—_Combined_Collaboration_Roadmap.docx	source-original	docx	16586	3b9939c78524e709d27777e5fa5777c3bebcaecb	dc02aeb1db3819e792b0ecc9c3410d3a1b35e0d491798c8ac85684bca9c36685		docx	11	threadbourne techne metis combined collaboration roadmap
Systemwide/Source/Original-Documents/Timeline of clothing and textiles technology.docx	source-original	docx	20487	4df917fd5064ebb7b7ffd1cf1da529b172159380	fd546a27b82cb6251405ff7cf929a4bf58d39958d833976a6ebd3e3210d86a23		docx	11	timeline of clothing and textiles technology
Systemwide/Source/Original-Documents/Try constellations written by sapphos.docx	source-original	docx	8438	3983e0a7008a2c09e2f0e282c46e8996ebb9384f	73a5d46719b8dfd5287af3527dfaae992059ed62a7acafd74f075aebf191eb30		docx	9	try constellations written by sapphos
Systemwide/Source/Original-Documents/Using the Advanced Cybernetic Integration & Anatom.._.docx	source-original	docx	9438	0bf09214e8d748638abb482cfa02c669ea4cd498	ac2b3662e3807ee76d57af8250498a7ca15533192214ae47b9891025f1dae447		docx	9	using advanced cybernetic integration anatom
Systemwide/Source/Original-Documents/What desicions have been made add them if they are.._.docx	source-original	docx	8020	93d5a5419cc9791eddc91cf05c49ee76c6f2a4a5	697d63209bff594c9bfb19cf1ea2db630ceec6a1bd00d4432b9f25387d1fc29b		docx	9	what desicions have been made add them if they are
Systemwide/Source/Original-Documents/What shape is Constellation of pleiades.docx	source-original	docx	7876	5db5f94a683a21d03b23aef48c049c175ddd3230	3706255f9704a496312f64337565d4701ff6e2c44fc403227d5d27954fd27c7f		docx	9	what shape is constellation of pleiades
Systemwide/Source/Original-Documents/When the meals concludes mark asks everyone to set.._.docx	source-original	docx	8317	06fb4749466bf1e28db2697694a8bb8124243456	e06911726cc27fb318808921407df655152a9ce82fe21a250164435db5f37c91		docx	9	when meals concludes mark asks everyone to set
Systemwide/Source/Original-Documents/When the reminders are intended for.txt	source-original	txt	14475	d7ac6a516ab3aca83c6a34b06db6ab8b21e933e7	ed9d8789a76d19c6effa92abb8c8b464ca08b4b93d627eda323191d650894033		text	0	when reminders are intended for
Systemwide/Source/Original-Documents/Write 25 expressions used by women in each generat.._.docx	source-original	docx	16756	563d6f0e8eab83dd78ba9ac5852a731212d6510a	162ecd910bf0c3763e9595663d6f9f7e9ce7fa34283eb80940c6e2f0715347af		docx	9	write 25 expressions used by women in each generat
Systemwide/Source/Original-Documents/Write a list of 25 lesbian wxpressions.docx	source-original	docx	9354	0175eaa63329372f08d6f5c00a5a1f25ef822122	9e07ed788f1062e76d01d9df5b9f290c94bd7bd8d37e87ab669abf60d41266a8		docx	9	write a list of 25 lesbian wxpressions
Systemwide/Source/Original-Documents/Write a list of 25 slang terms by each generation .._.docx	source-original	docx	15966	061b39d5a181f137f7c3a7f5de4ad98562752669	fe2c61b2b4b6021691500a03fee9ecbbd294006012861352f3b0832bf8fe7e6d		docx	9	write a list of 25 slang terms by each generation
Systemwide/Source/Original-Documents/Write a list of slang terms used by feminists.docx	source-original	docx	8771	46fc16fc55865e7420dfaa40e1145124bd871806	ab5fc1e1850912a61659b4dd816fb9139c0b32978cd859782cf28dd6526fe4db		docx	9	write a list of slang terms used by feminists
Systemwide/Source/Original-Documents/Z- characters - Family recap detailed.docx	source-original	docx	9789	486d41ab3935b2d20b125f1477d8a9b5a231c1e6	b21c59571fe2fa0e9f0e60c0fc4c52bff88c2d025591c52ce09a7c34294454e8		docx	9	z characters family recap detailed
Systemwide/Source/Original-Documents/[Copy]St_Claire_-_Current_World_Snapshot.docx	source-original	docx	16258	2a33c44dcf02371fca2117ad39498f6e151cfc3c	bb2488d7b0c4669025088febab08e8ff41971d9a0cb8e11695803a3ade8b5cbe		docx	11	st claire current world snapshot
Systemwide/Source/Original-Documents/[Copy][Copy]St_Claire_-_Current_World_Snapshot.docx	source-original	docx	16261	4569591a76b5ad1aaad76482575772bc54e23115	acd1e94b6abba4408ca60ae433ac39fb0b0a0d2e60dac87443273caed5599dd9		docx	11	st claire current world snapshot
Systemwide/Source/Original-Documents/accessory manufacturing.docx	source-original	docx	16295	f02d00c0b0f6b342532eea611d07886dd6cedd71	0757e6fa45d9abaad70c6916c3924eae7a4d71347b57c488d18ee35c209035c5		docx	11	accessory manufacturing
Systemwide/Source/Original-Documents/age-culture.skill	source-original	skill	3676	af52adffb7c81b72d2669b909952571f4cb4b49c	5a21f62b5816082c46b0407f33db4d1392726a525db853f7e730127c92b22248		skill	1	age culture
Systemwide/Source/Original-Documents/ai prompt.docx	source-original	docx	8738	0a53f29943269f7544365470bfcc3f381e9a424e	181b2b9269ae47259e0adcf5d22c5cf087cfc7d56d05782ded75cbdf39cc9bda		docx	9	ai prompt
Systemwide/Source/Original-Documents/apparel-manufacturing-product-guide.md	source-original	md	4465	1cc8c65081668aae4ccfaf936077714b90b79931	0e38f3b67c02da389e91229424c15830df494541d0e5a30a124607f70fcb3e21		text	0	apparel manufacturing product guide
Systemwide/Source/Original-Documents/arts and culture establishments.docx	source-original	docx	19326	dd57e7e89bc00bce0e5529ac0bb06fd64958d07e	28d9b97ac2ab33ac5de3a4555faca9db0d6df038270bca57774d7c625731401f		docx	12	arts and culture establishments
Systemwide/Source/Original-Documents/asset-tag-product-guide.md	source-original	md	4621	282738320e5c57cdee5b3b8bd3a91e7803434dac	eb154f40d776714f395a2c6ddc606cfcd9d3da5ba5a1682f6f7b5c503136e83f		text	0	asset tag product guide
Systemwide/Source/Original-Documents/attempt at list.docx	source-original	docx	14883	b6e60ddfba2b47de0c379eb5192772c79597632d	bdc0852d39f6da06dc2ba5fa0146d912126b588c87d8fbd1ff7519e455dba79e		docx	11	attempt at list
Systemwide/Source/Original-Documents/barbie vehicles summary.docx	source-original	docx	20499	910e9fa567a13a6e6537130353745e120d0eb068	29b4744afc2898cf1d94fb55ccf5ef32a5b6e7236744f2047fa49eb296ac81a7		docx	12	barbie vehicles summary
Systemwide/Source/Original-Documents/barbies dreamhouses (2).docx	source-original	docx	6849933	1e04064076368f6743de309d4d78b669af12604c	13dfcf3d344de896a743a99996f6dc547b1c6832cb6d5324fb9b7822310d19aa	D004	docx	33	barbies dreamhouses
Systemwide/Source/Original-Documents/barbies dreamhouses.docx	source-original	docx	6849933	1e04064076368f6743de309d4d78b669af12604c	13dfcf3d344de896a743a99996f6dc547b1c6832cb6d5324fb9b7822310d19aa	D004	docx	33	barbies dreamhouses
Systemwide/Source/Original-Documents/barbies houises and vehicles.docx	source-original	docx	18937	e50826e96e90b847b485216d919dce8b93217273	ac5597c7bc2198aa4b36f8c30cc460c04d5328f488f2c80ce156ea5e91ff4bb5		docx	12	barbies houises and vehicles
Systemwide/Source/Original-Documents/billionaire_Vacation_homes.csv	source-original	csv	11275	6c0249b8b8b8aa0ff257b100da5fe538825dca15	ebef6d571e4bf89297bd2860f3b6277b38b96612fbf59250fa9d89f2790834e6	D016	text	0	billionaire vacation homes
Systemwide/Source/Original-Documents/billionaire_luxury_homes_listing.csv	source-original	csv	12527	1e30d0b23ac24937f3b283692a5b3e4cf082253b	98baaf4996211c5a0f59fea4ae461d01475d80ae0866e73ca811210d5bc1b897		text	0	billionaire luxury homes listing
Systemwide/Source/Original-Documents/billionaire_unified_portfolio.csv	source-original	csv	11275	6c0249b8b8b8aa0ff257b100da5fe538825dca15	ebef6d571e4bf89297bd2860f3b6277b38b96612fbf59250fa9d89f2790834e6	D016	text	0	billionaire unified portfolio
Systemwide/Source/Original-Documents/cassandra_labs_draft (2).md	source-original	md	9906	655f50af068f0d10e31cfa3f0fa1b7bb8c144efc	4ba45b56a741d34804fe12d7e7335526d6a76ade7831689ce0d9102f173be7bf	D014	text	0	cassandra labs draft
Systemwide/Source/Original-Documents/cassandra_labs_draft.md	source-original	md	9906	655f50af068f0d10e31cfa3f0fa1b7bb8c144efc	4ba45b56a741d34804fe12d7e7335526d6a76ade7831689ce0d9102f173be7bf	D014	text	0	cassandra labs draft
Systemwide/Source/Original-Documents/change-toolkit 00-master-index (1).md	source-original	md	14721	56653eccd9113f2ed99a73354608d8c19db81171	9c860b0e86e31dcee962d4eb616c6885d15f78e671913abf2fa8219efaae69b5		text	0	change toolkit 00 master index
Systemwide/Source/Original-Documents/change-toolkit 00-master-index (2).md	source-original	md	13006	246c6ad0512b7b555a270e73f93cb1e6f20a4497	a5839ca3efe3b3c96892439cc1b046d377e9940506fd0c1aac9f2228c729c1e3		text	0	change toolkit 00 master index
